Name,Median Incomes,currency,incomes,zipcoded
Zip Code 10032,All Households,Dollars,53525,10032
Zip Code 10032,Families,Dollars,58919,10032
Zip Code 10032,Families without Children,Dollars,63411,10032
Zip Code 10033,All Households,Dollars,63093,10033
Zip Code 10033,Families without Children,Dollars,64422,10033
Zip Code 10033,Families,Dollars,66075,10033
Zip Code 10033,Families with Children,Dollars,74659,10033
Zip Code 10034,All Households,Dollars,54406,10034
Zip Code 10034,Families with Children,Dollars,51677,10034
Zip Code 10034,Families without Children,Dollars,60904,10034
Zip Code 10034,Families,Dollars,56284,10034
Zip Code 10035,Families,Dollars,36645,10035
Zip Code 10035,Families without Children,Dollars,41685,10035
Zip Code 10035,All Households,Dollars,29799,10035
Zip Code 10035,Families with Children,Dollars,28300,10035
Zip Code 10036,Families with Children,Dollars,84337,10036
Zip Code 10036,Families,Dollars,112342,10036
Zip Code 10036,Families without Children,Dollars,151719,10036
Zip Code 10036,All Households,Dollars,95301,10036
Zip Code 10037,Families without Children,Dollars,68094,10037
Zip Code 10037,All Households,Dollars,46263,10037
Zip Code 10037,Families,Dollars,51536,10037
Zip Code 10037,Families with Children,Dollars,33839,10037
Zip Code 10038,Families without Children,Dollars,88095,10038
Zip Code 10038,All Households,Dollars,95702,10038
Zip Code 10038,Families,Dollars,93156,10038
Zip Code 10038,Families with Children,Dollars,146473,10038
Zip Code 10039,Families without Children,Dollars,53777,10039
Zip Code 10039,Families,Dollars,44253,10039
Zip Code 10039,Families with Children,Dollars,38400,10039
Zip Code 10039,All Households,Dollars,42278,10039
Zip Code 10040,Families with Children,Dollars,50405,10040
Zip Code 10040,All Households,Dollars,49677,10040
Zip Code 10040,Families,Dollars,56530,10040
Zip Code 10040,Families without Children,Dollars,61463,10040
Zip Code 10044,Families,Dollars,121453,10044
Zip Code 10044,Families with Children,Dollars,165431,10044
Zip Code 10044,All Households,Dollars,104808,10044
Zip Code 10044,Families without Children,Dollars,111228,10044
Zip Code 10065,All Households,Dollars,148441,10065
Zip Code 10065,Families with Children,Dollars,250001,10065
Zip Code 10065,Families,Dollars,246005,10065
Zip Code 10065,Families without Children,Dollars,217072,10065
Zip Code 10069,Families,Dollars,200150,10069
Zip Code 10069,Families with Children,Dollars,250001,10069
Zip Code 10069,All Households,Dollars,132500,10069
Zip Code 10069,Families without Children,Dollars,129701,10069
Zip Code 10075,Families with Children,Dollars,175724,10075
Zip Code 10075,Families,Dollars,177237,10075
Zip Code 10075,Families without Children,Dollars,178698,10075
Zip Code 10075,All Households,Dollars,138640,10075
Zip Code 10128,Families,Dollars,192940,10128
Zip Code 10128,Families with Children,Dollars,235861,10128
Zip Code 10128,Families without Children,Dollars,177072,10128
Zip Code 10128,All Households,Dollars,121829,10128
Zip Code 10280,All Households,Dollars,182760,10280
Zip Code 10280,Families,Dollars,247627,10280
Zip Code 10280,Families with Children,Dollars,250001,10280
Zip Code 10280,Families without Children,Dollars,213482,10280
Zip Code 10282,Families with Children,Dollars,250001,10282
Zip Code 10282,Families,Dollars,250001,10282
Zip Code 10282,Families without Children,Dollars,250001,10282
Zip Code 10282,All Households,Dollars,250001,10282
Zip Code 10301,All Households,Dollars,62052,10301
Zip Code 10301,Families with Children,Dollars,60223,10301
Zip Code 10301,Families,Dollars,82267,10301
Zip Code 10301,Families without Children,Dollars,89521,10301
Zip Code 10302,All Households,Dollars,66096,10302
Zip Code 10302,Families with Children,Dollars,77853,10302
Zip Code 10302,Families without Children,Dollars,99420,10302
Zip Code 10302,Families,Dollars,93750,10302
Zip Code 10303,Families without Children,Dollars,80817,10303
Zip Code 10303,Families with Children,Dollars,67266,10303
Zip Code 10303,All Households,Dollars,67215,10303
Zip Code 10303,Families,Dollars,74187,10303
Zip Code 10304,Families,Dollars,73135,10304
Zip Code 10304,Families without Children,Dollars,90167,10304
Zip Code 10304,Families with Children,Dollars,58781,10304
Zip Code 10304,All Households,Dollars,54199,10304
Zip Code 10305,All Households,Dollars,79742,10305
Zip Code 10305,Families with Children,Dollars,91282,10305
Zip Code 10305,Families,Dollars,95406,10305
Zip Code 10305,Families without Children,Dollars,97097,10305
Zip Code 10306,Families without Children,Dollars,97884,10306
Zip Code 10306,Families,Dollars,96131,10306
Zip Code 10306,All Households,Dollars,80834,10306
Zip Code 10306,Families with Children,Dollars,89390,10306
Zip Code 10307,All Households,Dollars,85103,10307
Zip Code 10307,Families with Children,Dollars,108073,10307
Zip Code 10307,Families without Children,Dollars,118715,10307
Zip Code 10307,Families,Dollars,113839,10307
Zip Code 10308,Families without Children,Dollars,112661,10308
Zip Code 10308,Families,Dollars,113498,10308
Zip Code 10308,Families with Children,Dollars,116021,10308
Zip Code 10308,All Households,Dollars,103027,10308
Zip Code 10309,All Households,Dollars,109457,10309
Zip Code 10309,Families without Children,Dollars,114768,10309
Zip Code 10309,Families,Dollars,126350,10309
Zip Code 10309,Families with Children,Dollars,132473,10309
Zip Code 10310,Families without Children,Dollars,98788,10310
Zip Code 10310,Families with Children,Dollars,77165,10310
Zip Code 10310,Families,Dollars,90379,10310
Zip Code 10310,All Households,Dollars,76075,10310
Zip Code 10312,All Households,Dollars,97407,10312
Zip Code 10312,Families without Children,Dollars,106667,10312
Zip Code 10312,Families,Dollars,113327,10312
Zip Code 10312,Families with Children,Dollars,119989,10312
Zip Code 10314,Families,Dollars,107154,10314
Zip Code 10314,Families with Children,Dollars,109945,10314
Zip Code 10314,Families without Children,Dollars,105450,10314
Zip Code 10314,All Households,Dollars,91505,10314
Zip Code 10451,Families without Children,Dollars,45956,10451
Zip Code 10451,All Households,Dollars,30349,10451
Zip Code 10451,Families with Children,Dollars,28590,10451
Zip Code 10451,Families,Dollars,37332,10451
Zip Code 10452,Families without Children,Dollars,41150,10452
Zip Code 10452,Families,Dollars,35155,10452
Zip Code 10452,All Households,Dollars,29579,10452
Zip Code 10452,Families with Children,Dollars,30744,10452
Zip Code 10453,Families,Dollars,33760,10453
Zip Code 10453,All Households,Dollars,29136,10453
Zip Code 10453,Families with Children,Dollars,25919,10453
Zip Code 10453,Families without Children,Dollars,42783,10453
Zip Code 10454,Families without Children,Dollars,36085,10454
Zip Code 10454,Families with Children,Dollars,23561,10454
Zip Code 10454,All Households,Dollars,21447,10454
Zip Code 10454,Families,Dollars,30076,10454
Zip Code 10455,Families,Dollars,33920,10455
Zip Code 10455,All Households,Dollars,28585,10455
Zip Code 10455,Families with Children,Dollars,26502,10455
Zip Code 10455,Families without Children,Dollars,42637,10455
Zip Code 10456,Families without Children,Dollars,42260,10456
